concept_id,source_term,preferred_id_ID,first_unit_id,prerequisite_concept_ids,status
o004.concept.hyperbolic-angle-axioms,angle axioms in the conformal disc model,aksioma sudut dalam model cakram konformal,o004.petrunin.ch12.s04.a2,"o004.concept.hyperbolic-angle-measure; o004.concept.continuity; o004.petrunin.ax.ch02.iii",mapped-pending-qa
o004.concept.hyperbolic-sas-congruence,SAS congruence in the hyperbolic model,kekongruenan SAS dalam model hiperbolik,o004.petrunin.ch12.s04.a3,"o004.concept.hyperbolic-distance; o004.concept.hyperbolic-angle-measure; o004.concept.sas-congruence-condition; o004.concept.isometry",mapped-pending-qa
o004.concept.hyperbolic-axiom-v-model,model verification of hyperbolic Axiom V,verifikasi model bagi Aksioma V hiperbolik,o004.petrunin.ch12.s04.h4,"o004.concept.hyperbolic-parallel-axiom; o004.concept.hyperbolic-line; o004.concept.conformal-disc-model",mapped-pending-qa
o004.concept.multiple-hyperbolic-parallels,multiple h-parallels through an external point,lebih dari satu garis-h sejajar melalui titik luar,o004.petrunin.ch12.s04.h4,o004.concept.hyperbolic-axiom-v-model,mapped-pending-qa
o004.concept.hyperbolic-parallelism-not-equivalence,nontransitivity of h-line parallelism,ketaktransitifan kesejajaran garis-h,o004.petrunin.ch12.s04.h4,"o004.concept.multiple-hyperbolic-parallels; o004.concept.equivalence-relation; o004.concept.parallelism-equivalence-relation",mapped-pending-qa
o004.concept.relative-consistency-conformal-model,relative consistency via the conformal disc model,konsistensi relatif melalui model cakram konformal,o004.petrunin.ch12.s04,"o004.concept.conformal-disc-model; o004.concept.relative-consistency; o004.concept.axiomatic-independence-by-model",mapped-pending-qa
o004.concept.hyperbolic-functions,hyperbolic functions,fungsi hiperbolik,o004.petrunin.ch12.s05,o004.concept.hyperbolic-distance,mapped-pending-qa
o004.concept.hyperbolic-cosine,hyperbolic cosine,kosinus hiperbolik,o004.petrunin.ch12.s05,o004.concept.hyperbolic-functions,mapped-pending-qa
o004.concept.hyperbolic-sine,hyperbolic sine,sinus hiperbolik,o004.petrunin.ch12.s05,o004.concept.hyperbolic-functions,mapped-pending-qa
o004.concept.hyperbolic-tangent,hyperbolic tangent,tangen hiperbolik,o004.petrunin.ch12.s05,"o004.concept.hyperbolic-functions; o004.concept.hyperbolic-cosine; o004.concept.hyperbolic-sine",mapped-pending-qa
o004.concept.double-argument-hyperbolic-identities,double-argument identities for hyperbolic functions,identitas argumen ganda untuk fungsi hiperbolik,o004.petrunin.ch12.s05,"o004.concept.hyperbolic-cosine; o004.concept.hyperbolic-sine",mapped-pending-qa
o004.concept.euclidean-hyperbolic-radial-coordinate,Euclidean-hyperbolic radial coordinate relation,hubungan koordinat radial Euklides-hiperbolik,o004.petrunin.ch12.s05,"o004.concept.hyperbolic-radial-distance; o004.concept.hyperbolic-tangent",mapped-pending-qa
o004.concept.inversion-distance-formulas,hyperbolic distance formulas using inverse points,rumus jarak hiperbolik dengan titik invers,o004.petrunin.ch12.s05,"o004.concept.hyperbolic-distance; o004.concept.inverse-points; o004.concept.hyperbolic-cosine; o004.concept.hyperbolic-sine; o004.concept.hyperbolic-tangent",mapped-pending-qa
