id,en,id_ID,status,note
O003-T046,open ball,bola terbuka,approved,Bola buka is an attested Indonesian alias; retain the edition's adjective form consistently
O003-T047,unit circle,lingkaran satuan,approved,Set of points at distance one from the origin
O003-T048,Cauchy-Schwarz inequality,Pertidaksamaan Cauchy-Schwarz,approved,Capitalize in the named result
O003-T049,concave,cekung,approved,Real-analysis term used in Chapter 3 exercises
O003-T050,graph,graf,approved,Use graph only in protected code or source identifiers
O003-T051,vertex,simpul,approved,Graph-theory term
O003-T052,edge,sisi,approved,Graph-theory term
O003-T053,shortest path,lintasan terpendek,approved,Weighted-graph metric term
O003-T054,Hamming metric,metrik Hamming,approved,Named coding-theory metric
O003-T055,Hamming distance,jarak Hamming,approved,Distance value induced by the Hamming metric
O003-T056,binary system,sistem biner,approved,Digital-coding term
O003-T057,word (coding theory),kata,approved,An element of X^n in the coding-theory context
O003-T058,code,kode,approved,A designated subset of words
O003-T059,code word,kata kode,approved,An admissible word belonging to a code
O003-T060,encoding,pengodean,approved,Digital-message operation
O003-T061,decoding,pendekodean,approved,Recovery of a message from its encoded or received form
O003-T062,error,galat,approved,Use for transmission and mathematical errors; retain salah only for ordinary misspelling
O003-T063,string,untai,approved,Computer-science and finite-alphabet term; introduce context explicitly
O003-T064,alphabet,alfabet,approved,Fixed set of allowable symbols
O003-T065,deletion,penghapusan,approved,Levenshtein edit operation
O003-T066,insertion,penyisipan,approved,Levenshtein edit operation
O003-T067,substitution,substitusi,approved,Levenshtein edit operation
O003-T068,Levenshtein metric,metrik Levenshtein,approved,Named edit-distance metric
O003-T069,Levenshtein distance,jarak Levenshtein,approved,Minimum number of permitted edits
O003-T070,spell checker,pemeriksa ejaan,approved,Application of edit distance
O003-T071,speech recognition,pengenalan wicara,approved,Application of edit distance
O003-T072,DNA strand,untai DNA,approved,Biological string-model term
O003-T073,lower bound,batas bawah,approved,Order-theoretic term for subsets of the reals
O003-T074,bounded below,terbatas di bawah,approved,Property of a set having a lower bound
O003-T075,greatest lower bound,batas bawah terbesar,approved,Use alongside infimum at first introduction
O003-T076,infimum,infimum,approved,Standard Indonesian mathematical loanword
O003-T077,upper bound,batas atas,approved,Order-theoretic dual of lower bound
O003-T078,bounded above,terbatas di atas,approved,Property of a set having an upper bound
O003-T079,least upper bound,batas atas terkecil,approved,Use alongside supremum at first introduction
O003-T080,supremum,supremum,approved,Standard Indonesian mathematical loanword
O003-T081,completeness axiom,aksioma kelengkapan,approved,Completeness property of the real number system
O003-T082,distance from a point to a set,jarak dari titik ke himpunan,approved,Point-to-set distance defined by an infimum
O003-T083,bounded,terbatas,approved,For a real subset bounded above and below
O003-T084,dense,rapat,approved,Topological density term
O003-T085,Archimedean property,sifat Archimedes,approved,Standard Indonesian name for the real-number property
O003-T086,Well-Ordering Principle,Prinsip Pengurutan Baik,approved,Capitalize as the named principle
O003-T087,supremum metric,metrik supremum,approved,Metric on continuous functions over a compact interval
O003-T088,uniform metric,metrik seragam,approved,Alternative name for the supremum metric
O003-T089,rational number,bilangan rasional,approved,Number-system term
O003-T090,irrational number,bilangan irasional,approved,Number-system term
O003-T091,natural number,bilangan asli,approved,Positive integers in the source convention
O003-T092,positive integer,bilangan bulat positif,approved,Explicitly distinguishes from nonnegative integers
O003-T093,continuous function,fungsi kontinu,approved,Standard Indonesian mathematical term also attested in both inspected UNDIP topology catalog witnesses
O003-T094,continuity,kekontinuan,approved,Property of being continuous; kontinuitas is attested but is not the edition's nominal house term
O003-T095,continuous at a point,kontinu di suatu titik,approved,Use in epsilon-delta definitions
O003-T096,epsilon-delta definition,definisi epsilon-delta,approved,Use ASCII names in prose and preserve Greek symbols in mathematics
O003-T097,Intermediate Value Theorem,Teorema Nilai Antara,approved,Capitalize as the named theorem
O003-T098,open set,himpunan terbuka,approved,Himpunan buka is an attested Indonesian alias; retain the edition's adjective form consistently
O003-T099,radius,jari-jari,approved,Open-ball radius
O003-T100,centered at,berpusat di,approved,Use for balls and metric diagrams
O003-T101,weighted graph,graf berbobot,approved,Finite graph carrying positive edge weights
O003-T102,indexing set,himpunan indeks,approved,Index family terminology
O003-T103,open map,pemetaan terbuka,approved,Map that sends every open set to an open set
O003-T104,interior; interior of a set,interior; interior suatu himpunan,approved,Set of all interior points; keep distinct from closure
O003-T105,interior point,titik interior,approved,A point for which the containing set is a neighborhood
O003-T106,affine function; affine map,fungsi afin; pemetaan afin,approved,Use for x maps to ax plus b when b is arbitrary; reserve fungsi linear for b equal to zero over the reals
O003-T107,basis for open sets,basis,approved,Family of open balls or other generators whose unions give the open sets
O003-T108,arbitrary union,gabungan sebarang,approved,Topology closure property with no finiteness restriction on the indexed family
O003-T109,arbitrary intersection,irisan sebarang,approved,Need not preserve openness
O003-T110,finite intersection,irisan berhingga,approved,Preserves openness
O003-T111,biconditional statement,pernyataan bikondisional,approved,Statement whose forward and reverse implications must both be proved
O003-T112,reverse containment; reverse inclusion,inklusi sebaliknya,approved,Proof terminology for the opposite set inclusion
O003-T113,sequence,barisan,approved,Use for functions from the positive integers into a space
O003-T114,term of a sequence,suku barisan,approved,Individual value indexed by n
O003-T115,converges to,konvergen ke,approved,Relational wording for a sequence and its limit
O003-T116,divergent,divergen,approved,Use when a sequence has no limit in the stated metric space
O003-T117,pointwise convergence,konvergensi titik demi titik,approved,Function-sequence convergence evaluated separately at each input; konvergen per titik is an attested relational alias
O003-T118,eventually constant,pada akhirnya konstan,approved,All terms equal one fixed value beyond some index
O003-T119,ambient space,ruang ambien,approved,Larger space used to distinguish ambient convergence from convergence inside a subspace
O003-T120,bounded sequence,barisan terbatas,approved,A sequence whose range is a bounded subset
O003-T121,limit of a sequence,limit barisan,approved,Use consistently rather than batas barisan
O003-T122,convergence,konvergensi,approved,Kekonvergenan is an attested Indonesian alias; retain konvergensi as the edition's concise nominal house term
O003-T123,closed set,himpunan tertutup,approved,Keep distinct from tutupan of a set
O003-T124,compactness,kekompakan,approved,Property corresponding to a compact space
O003-T125,compact space,ruang kompak,approved,Attested in the Universitas Terbuka topology overview
O003-T126,product topology,topologi hasil kali,approved,Attested in the inspected ITB teaching witness
O003-T127,uniform topology,topologi seragam,approved,Use when the topology is induced by a uniform metric or uniform structure
O003-T128,subbasis,subbasis,approved,Standard Indonesian mathematical loanword
O003-T129,boundary point,titik batas,approved,Attested in official Indonesian university mathematics curricula; keep distinct from limit barisan
O003-T130,limit point; accumulation point,titik limit (sinonim: titik akumulasi),approved,The GVSU metric-space chapter explicitly uses the two source terms synonymously; titik limit is the attested canonical form and titik akumulasi is retained only where the source itself presents the synonym pair
O003-T131,isolated point,titik terasing,approved,Attested alongside titik limit and titik batas in the official UGM mathematics curriculum
O003-T132,boundary of a set,batas suatu himpunan,approved,The set of all boundary points; keep distinct from limit barisan and topological tutupan
O003-T133,subspace; metric subspace,subruang; subruang metrik,approved,Use subruang dari ruang metrik when the ambient space must be explicit
O003-T134,product metric space,ruang metrik hasil kali,approved,Align with hasil kali Kartesius and topologi hasil kali; avoid the unnecessary loanword produk
O003-T135,product metric,metrik hasil kali,approved,Keep distinct from topologi hasil kali
O003-T136,coordinate space,ruang koordinat,approved,A factor in a finite metric product
O003-T137,factor space,ruang faktor,approved,Use only in the product context here; do not use it for a quotient space
O003-T138,Hilbert space,ruang Hilbert,approved,Standard named-space form
O003-T139,norm,norma,approved,The square-sum norm on the displayed sequence space
O003-T140,non-decreasing sequence,barisan tak menurun,approved,Equality is allowed; do not strengthen to a strictly increasing sequence
O003-T141,embedding; embedded,pembenaman; tertanam,approved,In prose use ditanamkan sebagai subruang
O003-T142,basis for a topology,basis untuk topologi,approved,Use basis as the established Indonesian mathematical term; specify untuk topologi at first definition
O003-T143,open set,himpunan terbuka,approved,Core topology term; do not shorten to terbuka when the noun is needed
O003-T144,indiscrete topology,topologi indiskret,approved,Preferred Indonesian rendering alongside topologi diskret
O003-T145,finite complement topology; cofinite topology,topologi komplemen berhingga; topologi kofinit,approved,Use topologi komplemen berhingga in exposition and retain kofinit as the standard synonym
O003-T146,metrizable,termetriskan,approved,Use for a topological space realizable by a metric
O003-T147,Golomb space,ruang Golomb,approved,Named space; retain Golomb unchanged
O003-T148,coarser topology; weaker topology,topologi lebih kasar; topologi lebih lemah,approved,Order terminology for inclusion of topologies
O003-T149,finer topology; stronger topology,topologi lebih halus; topologi lebih kuat,approved,Order terminology dual to coarser/weaker
O003-T150,digital line topology,topologi garis digital,approved,Use garis digital for the associated one-dimensional pixel model
O003-T151,particular point topology,topologi titik tertentu,approved,Standard descriptive Indonesian rendering
O003-T152,excluded point topology,topologi titik yang dikecualikan,approved,Keep distinct from particular point topology
O003-T153,Zariski topology,topologi Zariski,approved,Named topology; retain Zariski unchanged
O003-T154,closed set in a topological space,himpunan tertutup dalam ruang topologi,approved,Extends the established metric-space term without implying metrizability
O003-T155,Hausdorff space,ruang Hausdorff,approved,Standard proper-name form; retain Hausdorff unchanged
O003-T156,separation axiom,aksioma separasi,approved,Official Indonesian topology teaching and journal sources use aksioma separasi; use with unchanged symbols T_1 through T_4
O003-T157,trivial topology,topologi trivial,approved,Retain as the explicit synonym paired with topologi indiskret
O003-T158,singleton set,himpunan beranggota tunggal,approved,Use the natural descriptive Indonesian form in reader prose
O003-T159,clopen set,himpunan buka-tutup,approved,Introduce the transparent Indonesian form and retain clopen once as the source's closed-open portmanteau
O003-T160,derived set,himpunan turunan,approved,Use for the set A' of all limit points of A; keep distinct from closure
O003-T161,regular space,ruang reguler,approved,Official UGM topology curriculum uses ruang reguler; record regular as an encountered spelling variant only
O003-T162,normal space,ruang normal,approved,Official Indonesian topology teaching and journal sources use ruang normal
O003-T163,Fréchet space,ruang Fréchet,approved,Retain the proper name and diacritic in reader prose and index terms
O003-T164,K-topology,topologi K,approved,Use Indonesian head-first order and retain the mathematical symbol K
O003-T165,Niemytzki plane,bidang Niemytzki,approved,Retain the proper name and translate the geometric noun
O003-T166,Double Origin topology,topologi Titik Asal Ganda,approved,Use a transparent Indonesian name while preserving the two distinguished origins in the definition
O003-T167,homeomorphism,homeomorfisme,approved,Standard Indonesian mathematical loanword for a bicontinuous bijection; UNDIP Ruang Topologi Fuzzy attests homeomorphisma as a variant but does not justify corpus-wide replacement
O003-T168,homeomorphic,homeomorfik,approved,Adjectival form paired consistently with homeomorfisme
O003-T169,metric equivalence,ekuivalensi metrik,approved,Use for equivalence induced by an isometry and keep distinct from topological equivalence
O003-T170,topological equivalence,ekuivalensi topologis,approved,Use for equivalence induced by a homeomorphism
O003-T171,topological invariant,invarian topologis,approved,Property preserved under homeomorphism
O003-T172,open map; open function,pemetaan terbuka,approved,Use pemetaan as the natural mathematical noun while retaining the source's function concept
O003-T173,closed map; closed function,pemetaan tertutup,approved,Parallel term to pemetaan terbuka
O003-T174,metrically equivalent,ekuivalen secara metrik,approved,Adjectival form paired with ekuivalensi metrik
O003-T175,isometry,isometri,approved,Standard Indonesian mathematical loanword for the book's bijective distance-preserving map convention
O003-T176,topologically equivalent,ekuivalen secara topologis,approved,Adjectival form paired with ekuivalensi topologis
O003-T177,identity mapping,pemetaan identitas,approved,Standard term for the map sending every point to itself
O003-T178,underlying set,himpunan dasar,approved,Use for the common carrier set beneath one or more structures
O003-T179,deformation,deformasi,approved,Use only in the informal topological sense and do not imply differentiable smoothness
O003-T180,relation,relasi,approved,Standard Indonesian term for a subset of a Cartesian square
O003-T181,related to,berelasi dengan,approved,Use for the notation a ~ b and distinguish it from equality
O003-T182,reflexive,refleksif,approved,Standard property of a relation
O003-T183,symmetric,simetris,approved,Standard property of a relation
O003-T184,transitive,transitif,approved,Standard property of a relation
O003-T185,equivalence relation,relasi ekuivalensi,approved,Stable term for reflexive symmetric transitive relation
O003-T186,equivalence class,kelas ekuivalensi,approved,Use for the blocks in the partition induced by an equivalence relation
O003-T187,disjoint union,gabungan saling lepas,approved,Use for a union of pairwise disjoint subsets
O003-T188,equals relation,relasi kesamaan,approved,Use for the equality relation on the integers example
O003-T189,homeomorphism class,kelas homeomorfisme,approved,Use for equivalence classes under homeomorphism
O003-T190,topological invariant,invarian topologis,approved,Stable noun for a property preserved by homeomorphism
O003-T191,topological property,sifat topologis,approved,Parallel reader term for an invariant property
O003-T192,indiscrete topology,topologi indiskret,approved,Standard Indonesian topology term
O003-T193,discrete topology,topologi diskret,approved,Standard Indonesian topology term
O003-T194,finite complement topology,topologi komplemen berhingga,approved,Normalized to the earlier controlling O003-T145 term; topologi kofinit remains an accepted synonym
O003-T195,subspace,subruang,approved,Standard Indonesian topology term; preserve the source convention that a subspace is nonempty
O003-T196,subspace topology,topologi subruang,approved,Topology inherited by a subset from the ambient topological space
O003-T197,relatively open,terbuka relatif,approved,On first use state the ambient subset explicitly as terbuka relatif terhadap A
O003-T198,relatively closed,tertutup relatif,approved,On first use state the ambient subset explicitly as tertutup relatif terhadap A
O003-T199,relative topology,topologi relatif,approved,Synonym for topologi subruang when the source uses relative topology; directly attested in the UNDIP Ruang Topologi Fuzzy synopsis
O003-T200,induced topology,topologi terinduksi,approved,Use when the source emphasizes that the ambient topology induces the subspace topology
O003-T201,basis for a subspace,basis untuk subruang,approved,Preserve basis macro and intersection formulas
O003-T202,restriction of a metric or function,pembatasan metrik atau fungsi,approved,Use pembatasan for a map or metric restricted to a subset
O003-T203,nonempty subset,subhimpunan tak kosong,approved,Stable formulation for the upstream chapter's explicit nonempty-subspace convention
O003-T204,quotient space,ruang kuosien,approved,Standard topology term; do not conflate with ruang faktor in the product-space context
O003-T205,quotient,kuosien atau hasil bagi,approved,Use hasil bagi for elementary arithmetic and kuosien for the topological construction
O003-T206,congruence modulo n,kongruensi modulo n,approved,Standard number-theoretic formulation; modulo corrects the upstream typo module
O003-T207,identify points,mengidentifikasi titik,approved,Use for declaring points equivalent in a quotient construction
O003-T208,glue points or edges,merekatkan titik atau sisi,approved,Geometric reader term for quotient identification
O003-T209,quotient topology,topologi kuosien,approved,Topology placed on the quotient codomain by the inverse-image criterion
O003-T210,collapse or collapsing,penciutan atau menciutkan,approved,Use the noun or verb according to grammar when quotient identification contracts a subspace
O003-T211,quotient map,pemetaan kuosien,approved,Surjective map characterized by openness of inverse images; use pemetaan consistently with open and closed maps
O003-T212,identification space,ruang identifikasi,approved,Synonym emphasizing the equivalence-class construction of a quotient space
O003-T213,floor function,fungsi lantai,approved,Standard term for the greatest-integer function represented by floor brackets
O003-T214,Möbius strip,pita Möbius,approved,Standard Indonesian name; retain the proper name with diaeresis
O003-T215,torus,torus,approved,Standard topology term for the pairwise same-direction quotient of opposite square edges
O003-T216,Klein bottle,botol Klein,approved,Standard Indonesian name for the nonorientable quotient surface
O003-T217,unit square,persegi satuan,approved,The Cartesian product of the closed unit interval with itself
O003-T218,canonical quotient projection,proyeksi kuosien kanonis,approved,Use for the distinguished map sending each point to its equivalence class
O003-T219,well-defined,terdefinisi dengan baik,approved,Use when a formula on equivalence classes is independent of the representative
O003-T220,respects an equivalence relation,menghormati relasi ekuivalensi,approved,A function has equal values on equivalent points and therefore descends to the quotient
O003-T221,open arc,busur terbuka,approved,Use for a basic open connected proper subset of the circle
O003-T222,basic open set,himpunan terbuka basis,approved,Reader term for a member of a chosen basis
O003-T223,sphere,permukaan bola,approved,Use for the topological sphere and distinguish it from a metric open or closed ball
O003-T224,unit disk,cakram satuan,approved,Qualify as cakram satuan tertutup or terbuka when the defining inequality requires it; do not use lingkaran
O003-T225,diametrically opposite points; antipodal points,titik-titik berseberangan secara diametral; titik-titik antipodal,approved,Introduce both once and thereafter prefer titik antipodal
O003-T226,real projective plane,bidang proyektif real,approved,Align real with the edition's bilangan real usage
O003-T227,point at infinity,titik di tak hingga,approved,Preferred natural phrase for an adjoined ideal point
O003-T228,hemisphere,hemisfer,approved,At first use optionally gloss as belahan permukaan bola to avoid confusion with a solid half-ball
O003-T229,equator,ekuator,approved,Boundary circle shared by the two hemispheres
O003-T230,nonorientable,tak dapat diorientasikan,approved,Semantically stronger and safer than tak terorientasi because the latter can merely mean no orientation was chosen
O003-T231,connected sum,jumlah terhubung,approved,Use for the surface operation; do not translate as ordinary union
O003-T232,closed surface,permukaan tertutup,approved,Closed means compact without boundary in the classification context
O003-T233,classification of closed surfaces,klasifikasi permukaan tertutup,approved,Use Teorema Klasifikasi Permukaan Tertutup when naming the theorem
O003-T234,retract,retrak,approved,A subspace A that is the image fixed pointwise by a retraction
O003-T235,retraction,retraksi,approved,The map r:X to A satisfying its restriction to A equals the identity
O003-T236,deformation retract,retrak deformasi,approved,Use A adalah retrak deformasi dari X
O003-T237,deformation retraction,retraksi deformasi,approved,Use for the deformation or homotopy realizing a deformation retract
O003-T238,attach or adjoin along the boundary,merekatkan sepanjang batas,approved,In a sentence use direkatkan sepanjang batasnya; for adjoin use menambahkan dengan merekatkannya sepanjang batas
O003-T239,two-point space,ruang dua titik,approved,Transparent finite-space term
O003-T240,largest topology,topologi terbesar,approved,Means largest under inclusion; topologi paling halus is an equivalent explanatory gloss
O003-T241,cover,selimut,approved,Use for a family of sets whose union contains the target set; distinct from topological closure or tutupan
O003-T242,open cover,selimut buka,approved,Attested in the Universitas Terbuka Pengantar Topologi course overview
O003-T243,subcover,subselimut,approved,A subfamily that remains a cover; formed transparently from the attested selimut term
O003-T244,finite subcover,subselimut berhingga,approved,A finite subfamily that remains a cover
O003-T245,compact subset,subhimpunan kompak,approved,Use for a subset compact in the ambient or subspace context as specified
O003-T246,bounded subset,subhimpunan terbatas,approved,Use in Euclidean and metric-space boundedness statements
O003-T247,standard n-dimensional cube,kubus standar berdimensi n,approved,Keep n as protected mathematics when it is displayed
O003-T248,Heine-Borel theorem,Teorema Heine-Borel,approved,Retain the conventional theorem name
O003-T249,finite intersection property,sifat irisan berhingga,approved,Standard compactness-equivalent property for families of closed sets
O003-T250,locally compact,kompak lokal,approved,Use as a predicate for a topological space
O003-T251,Hausdorff distance,jarak Hausdorff,approved,Use for the symmetric distance between nonempty compact subsets
O003-T252,Hausdorff metric,metrik Hausdorff,approved,Use when the Hausdorff distance is treated as a metric
O003-T253,iterated function system,sistem fungsi teriterasi,approved,Use for the contraction-based fractal construction
O003-T254,attractor,atraktor,approved,Use for the limiting invariant compact set of an iterated function system
O003-T255,contraction mapping,pemetaan kontraksi,approved,Use for a map with contraction factor below one
O003-T256,contraction factor,faktor kontraksi,approved,Express the scale ratio directly such as one half
O003-T257,Cauchy sequence,barisan Cauchy,approved,Retain the mathematician name and Indonesian sequence term
O003-T258,complete metric space,ruang metrik lengkap,approved,A metric space in which every Cauchy sequence converges
O003-T259,fractal,fraktal,approved,Established Indonesian mathematical spelling
O003-T260,Sierpinski triangle,segitiga Sierpinski,approved,Retain the conventional proper name without diacritic normalization
O003-T400,box topology,topologi kotak,approved,Use for the topology generated by products of open factor sets in the finite-product setting
O003-T401,projection map,peta proyeksi,approved,Use for the canonical map from a product to one factor
O003-T402,digital plane,bidang digital,approved,Use for the integer lattice viewed with a digital topology
O003-T403,4-neighbor,tetangga-4,approved,Use the numeral after the noun consistently in prose
O003-T404,8-neighbor,tetangga-8,approved,Use the numeral after the noun consistently in prose
O003-T405,k-path,lintasan-k,approved,Use the parameter after the path noun and retain k as mathematics when marked up
O003-T406,k-connected,terhubung-k,approved,Use the parameter after the connectedness adjective and retain k as mathematics when marked up
O003-T407,digital Jordan curve,kurva Jordan digital,approved,Retain the proper name Jordan and place digital after the noun phrase
O003-T408,Khalimsky topology,topologi Khalimsky,approved,Retain the proper name Khalimsky
O003-T409,digital interval,interval digital,approved,Use for an integer interval equipped with the digital-line topology
O003-T410,digital path,lintasan digital,approved,Use for the range of a continuous function from a digital interval
O003-T411,digital arc,busur digital,approved,Use for the range of a homeomorphism from a digital interval
O003-T412,pure point,titik murni,approved,Use for a lattice point whose coordinates have the same parity
O003-T413,mixed point,titik campuran,approved,Use for a lattice point whose coordinates have different parity
O003-T500,first-countability axiom,aksioma keterhitungan pertama,approved,Primary Indonesian topology-journal usage; distinguish the axiom noun phrase from the predicate for a space
O003-T501,first-countable space,ruang terhitung pertama,approved,Primary Indonesian topology-journal usage; use terhitung rather than the earlier unsubstantiated berketerhitungan form
O003-T502,second-countability axiom,aksioma keterhitungan kedua,approved,Parallel transparent form for the axiom that the topology has a countable basis
O003-T503,second-countable space,ruang terhitung kedua,approved,Predicate form parallel to attested ruang terhitung pertama
O003-T504,net,jaring,approved,Use the Indonesian mathematical noun throughout reader-visible prose; retain locale-neutral IDs and source locators
O003-T505,subnet,subjaring,approved,Derived consistently from jaring and used for Kelley subnets
O003-T506,directed set,himpunan terarah,approved,Index set for a net with the direction relation made explicit
O003-T507,cluster point,titik gugus,approved,Use for a point at which a net is frequently eventually-near; distinguish from limit point when context matters
O003-T508,specialization preorder,praurutan spesialisasi,approved,Use for x less than or equal to y when every open neighborhood of x contains y
O003-T509,Kolmogorov quotient,kuosien Kolmogorov,approved,Retain the proper name and established kuosien spelling
O003-T510,completely regular,reguler lengkap,approved,Use with the explicit point-versus-closed-set function-separation definition
O003-T511,compact-open topology,topologi kompak-terbuka,approved,Use for the topology on C(X,Y) with subbasis [K,U]
O003-T512,one-point compactification,kompaktifikasi satu titik,approved,Use for the Alexandroff compactification of a noncompact locally compact Hausdorff space
O003-T513,pseudometric,pseudometrik,approved,Use when distinct points may have distance zero
O003-T514,metrization,metrisasi,approved,Use for construction or existence of a metric inducing the given topology
O003-T515,equicontinuous,ekukontinu,approved,Use for a function family sharing the required local continuity control
O003-T516,pointwise convergence,kekonvergenan titik demi titik,approved,Use for convergence in the product topology on a function space
O003-T517,uniform topology,topologi seragam,approved,Use only when the codomain carries a metric or uniform structure
O003-T518,function space,ruang fungsi,approved,Use for a set of functions equipped with a specified topology
O003-T519,Lindelof space,ruang Lindelöf,approved,Retain the proper-name diacritic and state the countable-subcover property
O003-T520,separable space,ruang separabel,approved,Use for a space with a countable dense subset
O003-T521,bicontinuous,dwikontinu,approved,Official UNDIP Buku Ajar Topologi synopsis attests dwikontinu; use only when both a map and its inverse are continuous
O003-T522,one-to-one correspondence,korespondensi satu-satu,approved,Attested in the indexed opening learning outcome for official UT Pengantar Topologi Module 1 and already used naturally in the edition
O003-T523,partial order,urutan parsial,approved,Use for a reflexive antisymmetric transitive order relation
O003-T524,partially ordered set,himpunan terurut parsial,approved,Attested in the indexed opening learning outcome for official UT Pengantar Topologi Module 1
