id,unit,file,source_locator,category,source_issue,target_action,status,evidence
O003-C017,chapter_02_functions,repo/source/sec_func_exer.ptx,authority line 48,mathematical_terminology,"the classification exercise warns about domain and range although its paired examples are designed to differ by codomain",replace range with codomain in the derivative instruction,verified,"surjectivity is determined by comparing the range with the declared codomain; the rational-function pair has the same rule and domain but different codomains"
O003-C018,chapter_03_metric_spaces,repo/source/sec_metric_space_intro.ptx,authority line 189,source_markup,"the taxicab figure prompt prints an unmatched opening parenthesis before 'points' and leaves the first coordinate pair without its opening parenthesis",place both coordinate parentheses inside the math node and remove the stray prose parenthesis,verified,"the prompt now names the two points (x_1,x_2) and (y_1,y_2) symmetrically"
O003-C019,chapter_03_metric_spaces,repo/source/sec_metric_space.ptx,authority line 126,mathematical_domain,"the finite example declares X={a,b,c} but gives d the unrelated domain A times A",replace A times A with X times X,verified,"the table and every subsequent quantifier use X"
O003-C020,chapter_03_metric_spaces,repo/source/sec_metric_space.ptx,authority lines 168-175,missing_case,"the finite-metric proof quantifies only x and y although z occurs and then claims only the all-distinct cases remain without treating z=y",quantify x y z and add the z=y degenerate triangle case,verified,"the proof now exhausts x=y x=z z=y and the three all-distinct inequalities"
O003-C021,chapter_03_metric_spaces,repo/source/sec_euclid_rn.ptx,authority lines 23 and 277,mathematical_operator,"both expanded Euclidean-distance formulas omit the plus sign before the final squared coordinate difference",insert the missing plus signs,verified,"both expanded expressions now match the summation formula beside them"
O003-C022,chapter_03_metric_spaces,repo/source/sec_euclid_rn.ptx,authority lines 149-150,missing_hypothesis,"the Cauchy-Schwarz proof treats a=sum y_i^2 as a positive quadratic coefficient without handling y=0",dispose of y=0 separately and state y nonzero hence a>0 before using the quadratic formula,verified,"the denominator 2a and discriminant argument now have their required hypothesis"
O003-C023,chapter_03_metric_spaces,repo/source/sec_euclid_rn.ptx,authority line 286,mathematical_delimiter,"the closing taxicab formula encloses each absolute coordinate difference in literal set braces",remove the stray set braces while retaining the absolute-value bars,verified,"the formula now matches the chapter introduction and summary definitions of d_T"
O003-C024,chapter_03_metric_spaces,repo/source/sec_metric_space_summ.ptx,authority line 53,mathematical_operator,"the summary's expanded Euclidean-distance formula omits the plus sign before the final squared coordinate difference",insert the missing plus sign,verified,"the expansion now matches its adjacent summation formula"
O003-C025,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority line 35,mathematical_domain,"the modular-metric exercise calls d a metric on R^2 even though d was defined only on X={1,3,5}",state the unit-circle sentence as general motivation using a metric space such as R^2 rather than attributing d to R^2,verified,"the following open-ball definition remains general and d is used only on its declared domain X"
O003-C026,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority lines 99-103,open_ball_boundary,"the rational-metric task says distance no more than 1 but immediately identifies the requested set as the open ball of radius 1",use distance strictly less than 1 to agree with the displayed open-ball definition,verified,"B(b,r) was defined with d(y,b)<r in the same exercise set"
O003-C027,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority lines 171-178,mathematical_domain,"the max-metric lemma places A and B in R^n although max A and max B require finite subsets of the ordered set R",replace R^n with R,verified,"the scalar inequality is then well-defined and supplies the coordinatewise estimate used for d_M"
O003-C028,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority lines 251-253,mathematical_value,"from p=5 m=34 n=7 the source correctly obtains 27=27 times 5^0 but then prints t(43,7)=27","replace it with t(34,7)=0",verified,"the arguments and exponent now follow the immediately preceding factorization"
O003-C029,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority line 313,mathematical_coordinate,"the product-metric definition names its first point as (x_1,y_2) instead of (x_1,y_1)",replace y_2 with y_1 in the first ordered pair,verified,"the displayed definition immediately below uses (x_1,y_1) and (x_2,y_2)"
O003-C030,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority lines 436-438,source_prose,"the concavity task inserts the fragment 'an interval' after already declaring [0,infinity) and produces an ungrammatical hypothesis",state separately that a and b lie in the declared interval,verified,"the intended domain and inequality are unchanged and all variables are locally bound"
O003-C031,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority line 367,source_prose,"the logarithmic-distance exercise asks 'Is d is a metric'",translate the intended single-copula question,verified,"the mathematical function and domain are unchanged"
O003-C032,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority lines 113-142,source_punctuation,"two descriptions of Euclidean betweenness open a parenthesis without closing it",close the parenthetical explanations in Indonesian,verified,"both sentences now have balanced punctuation without changing their claims"
O003-C033,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority line 46,source_prose,"the open-ball definition says 'is the the set'",translate the intended single article,verified,"the displayed definition is unchanged"
O003-C034,chapter_03_metric_spaces,repo/source/sec_metric_space_summ.ptx,authority line 43,source_prose,"the summary says 'These metric are different'",translate the intended plural statement,verified,"all three named metrics remain the subject"
O003-C035,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority lines 472-473,function_type,"the proposed product-distance function is declared X times Y to R even though its inputs are ordered pairs of points of X times Y",declare its domain as (X times Y) times (X times Y),verified,"the displayed rule takes (a,b) and (c,d) as its two arguments"
O003-C036,chapter_02_functions,repo/source/sec_func_intro.ptx,authority lines 187-230,schema_structure,"the restriction definition is placed inside a task introduction that also contains nested tasks; that introduction permits statement blocks but not a definition block",move the unchanged restriction definition immediately before the exploration and retain the task introduction and both nested tasks,verified,"the definition remains before the work that uses it and the cumulative reader validates against the pinned PreTeXt schema"
O003-C037,chapter_03_metric_spaces,repo/source/sec_metric_space_intro.ptx,authority lines 97-182,schema_structure,"the absolute-value lemma and proof are placed inside a task statement; a task statement does not permit a lemma block",move the unchanged lemma and proof immediately before the exploration and revise the task's directional phrase from 'below' to a position-neutral reference,verified,"the lemma remains immediately before the activity that uses it and the cumulative reader validates against the pinned PreTeXt schema"
O003-C038,chapter_03_metric_spaces,repo/source/sec_metric_space_exer.ptx,authority lines 18-59,schema_structure,"the open-ball definition is nested in a paragraph inside a list item inside a task-bearing exercise introduction; that introduction permits statement blocks but not a definition block","move the unchanged open-ball definition into a new exercises-level introduction before the first exercise, preserve the list-item tail prose, and use a position-neutral connective",verified,"xml:id def_ms_open_ball and all mathematical content are retained; the corrected file and cumulative reader validate against the pinned PreTeXt 1.7.5 schema"
O003-C039,chapter_04_metric_space_applications,repo/source/sec_hamming.ptx,authority line 18,mathematical_coordinate,"the displayed general word repeats x_1 as its second coordinate","replace the second x_1 with x_2",verified,"the corrected tuple now agrees with the indexed n-coordinate notation used in the definition immediately below"
O003-C040,chapter_04_metric_space_applications,repo/source/sec_levenshtein.ptx,authority line 87,source_typo,"the prose says 'a sting x' where the mathematical object is a string","translate the intended word string as untai",verified,"the surrounding paragraph and every operation concern finite strings"
O003-C041,chapter_04_metric_space_applications,repo/source/sec_levenshtein.ptx,authority lines 56-116,schema_structure,"the Levenshtein definition is nested inside a paragraph inside a task statement; statements permit statement blocks but not a definition block","retain the first inquiry task in the first activity, move the pre-definition prose and intact semantic definition to section level, and place the two remaining tasks in a second activity",verified,"the prose, definition, and all three tasks retain their pedagogical order and the corrected cumulative reader validates against the pinned PreTeXt schema"
O003-C042,chapter_04_metric_space_applications,repo/source/sec_levenshtein.ptx,authority line 120,mathematical_delimiter,"the first spell-check candidate opens but does not close its quotation mark inside the displayed mathematics","add the missing closing quotation mark to topography",verified,"all three candidate strings now have balanced quotation marks"
O003-C043,chapter_04_metric_space_applications,repo/source/sec_levenshtein.ptx,authority lines 87-116,mathematical_domain,"the source calls the domain all possible words without fixing an alphabet, so the alleged metric domain is not a single well-defined set","fix an alphabet Sigma, state that x and y are strings over it, and formulate the proof task on Sigma-star",verified,"deletion, insertion, and substitution are then closed operations on the stated set of finite strings"
O003-C044,chapter_05_greatest_lower_bounds,repo/source/sec_dist_point_set.ptx,authority lines 10-11,mathematical_hypothesis,"the completeness-axiom paraphrase says any subset of the reals bounded below has a greatest lower bound but omits nonemptiness","require the subset to be nonempty",verified,"source-fidelity QA and pinned-schema validation pass; the empty set is bounded below but has no real infimum"
O003-C045,chapter_05_greatest_lower_bounds,repo/source/sec_dist_point_set.ptx,authority lines 60-64,mathematical_hypothesis,"the least-upper-bound and supremum assertion omits nonemptiness","require the subset to be nonempty",verified,"source-fidelity QA and pinned-schema validation pass; the empty set has no real supremum"
O003-C046,chapter_05_greatest_lower_bounds,repo/source/sec_glb_summ.ptx,authority line 8,source_typo,"the summary says a lower bound or a subset instead of for a subset","translate the intended preposition for",verified,"source-fidelity QA passes and the adjacent definition supplies the intended relation"
O003-C047,chapter_05_greatest_lower_bounds,repo/source/sec_glb_summ.ptx,authority line 42,mathematical_variable,"the least-upper-bound condition calls k an upper bound for lowercase s instead of the declared set S","replace s with S in the derivative formula",verified,"protected-math allowance is explicit and the surrounding statement declares only the set S"
O003-C048,chapter_05_greatest_lower_bounds,repo/source/sec_glb_summ.ptx,authority line 50,mathematical_hypothesis,"the point-to-set distance summary omits that A must be nonempty","require A to be nonempty",verified,"source-fidelity QA and pinned-schema validation pass; the defining infimum is not a real number for an empty distance set"
O003-C049,chapter_05_greatest_lower_bounds,repo/source/sec_glb_exer.ptx,authority lines 126-131,function_domain,"C[a,b] is described as functions from R to R on [a,b], making the displayed supremum rule only a pseudometric when functions differ outside the interval","define X as continuous functions f:[a,b] to R for a nonempty compact interval a<b",verified,"explicit protected-math allowances pass and the displayed supremum separates every distinct pair in X"
O003-C050,chapter_05_greatest_lower_bounds,repo/source/sec_glb_exer.ptx,authority lines 279-303,mathematical_hypothesis,"the quoted well-ordering principle omits nonempty and the proof invokes it before establishing the particular integer set S is nonempty","state the principle for a nonempty integer subset and explicitly establish S is nonempty",verified,"source-fidelity QA and pinned-schema validation pass; the Archimedean property supplies an integer greater than nx"
O003-C051,chapter_05_greatest_lower_bounds,repo/source/sec_glb_exer.ptx,authority lines 478-500,mathematical_hypothesis,"the final true-false exercise uses infima and suprema after assuming only that S and T are bounded","require S and T to be nonempty bounded subsets",verified,"source-fidelity QA and pinned-schema validation pass; empty bounded subsets have no real infimum or supremum"
O003-C052,chapter_05_greatest_lower_bounds,repo/source/sec_glb_exer.ptx,authority lines 523-524,mathematical_hypothesis,"the final point-to-set item uses d(x,A) without requiring A nonempty and leaves the metric on R unspecified","require A nonempty and identify the Euclidean metric d_E",verified,"protected-math allowance and pinned-schema validation pass; the chapter definition requires A nonempty"
O003-C053,chapter_05_greatest_lower_bounds,repo/source/sec_glb_exer.ptx,authority line 340,notation_definition,"the exercise uses R positive without defining whether zero is included","define R positive as the set of positive real numbers at first use",verified,"explicit element-insertion allowance and pinned-schema validation pass; the construction requires x greater than zero"
O003-C054,chapter_05_greatest_lower_bounds,repo/source/sec_glb_intro.ptx,authority lines 24 30 and 40,notation_consistency,"the opening example fixes the Euclidean metric d_E but alternates d and d_E for the resulting point-to-set distance","use d_E consistently in the three example displays",verified,"four explicit protected-math allowances pass and the surrounding prose fixes the Euclidean metric"
O003-C055,chapter_05_greatest_lower_bounds,repo/source/sec_glb_exer.ptx,five authority theorem blocks embedded in exercise-level prose,schema_structure,"five theorem blocks reproduce the RelaxNG diagnostics; direct isolation proves the nested ordered and unordered lists are valid","retain the five complete theorem subtrees in source order in a permitted exercises-level introduction while preserving IDs mathematics and the exercise/task order",verified,"cumulative pinned PreTeXt 1.7.5 RelaxNG validation passes; five explicit whole-subtree topology-move allowances pass"
O003-C056,chapter_05_greatest_lower_bounds,repo/source/chapters_01_05_reader.ptx,Chapter 5 build wrapper,build_configuration,"the source uses custom macros glb and lub that are not defined in the current cumulative wrapper","define lossless display macros for greatest and least upper bounds before strict PDF preflight",verified,"cumulative pinned-schema HTML build and strict XeLaTeX PDF build pass with both macros defined"
O003-C057,chapter_06_continuous_functions,repo/source/sec_cont_func_btwn.ptx,authority line 16,mathematical_symbol,"the prose defines the Euclidean metric d_E but the displayed rule names d_R","replace d_R with d_E in the defining rule",verified,"the corrected symbol now agrees with the declared function and every subsequent use"
O003-C058,chapter_06_continuous_functions,repo/source/sec_cont_func_btwn.ptx,authority line 37,mathematical_reference,"the prose says to replace metric d although the surrounding definition uses d_E","replace d with d_E",verified,"the repaired reference points to the metric actually used in the preceding definition"
O003-C059,chapter_06_continuous_functions,repo/source/sec_cont_func_btwn.ptx,authority line 115,mathematical_choice,"C is described as a function of epsilon alone despite being written C(a epsilon) and the proposed delta uses set braces rather than a scalar minimum","state that delta depends on a and epsilon and use min of 1 and epsilon divided by 1 plus 2 absolute a",verified,"the corrected positive scalar choice is exactly the bound used by the proof that follows"
O003-C060,chapter_06_continuous_functions,repo/source/sec_cont_func_exer.ptx,authority lines 54-61,mathematical_domain,"the discrete metric is defined on arbitrary X but the prompt says the cited result proves it is a metric on R","state that it is a metric on X",verified,"the translated exercise now uses X and Chapter 6 source QA receipts the sole protected-math change"
O003-C061,chapter_06_continuous_functions,repo/source/sec_cont_func_exer.ptx,authority lines 171-181,mathematical_variable,"the exercise fixes continuity at x equals 1 but asks for a bound involving undefined a","replace f(a) with f(1)",verified,"the translated exercise now uses f(1) and Chapter 6 source QA receipts the sole protected-math change"
O003-C062,chapter_06_continuous_functions,repo/source/sec_cont_func_exer.ptx,authority line 181,missing_external_surface,"the sentence 'use the applet at to confirm' has neither a link nor an archived object","link the prompt to the original dependency-free epsilon-delta lab packaged with the derivative",verified,"both Chapter 6 reader links resolve to the packaged lab; deterministic HTML preserves exact local bytes and the print prompt remains mathematically complete without it"
O003-C063,chapter_06_continuous_functions,repo/source/sec_cont_func_intro.ptx,authority lines 25 28 and 42,source_prose,"the English source has 'all of the value' duplicated 'if if' and 'require us to formally defining'","translate the unambiguous intended prose naturally without reproducing the grammatical defects",verified,"the Indonesian translation states the same mathematical ideas with correct grammar and no protected-math change"
O003-C064,chapter_06_continuous_functions,repo/source/sec_cont_func_intro.ptx,authority lines 138-164,unarchived_interactive_dependency,"the first two exploration prompts depend on a remote GeoGebra object absent from the frozen source closure and with no established copy grant","replace the dependency with a separately identified original CC BY 4.0 offline-capable epsilon-delta lab while preserving both mathematical prompts",verified,"standalone live browser QA passed presets controls responsive reflow text and SVG alternatives sample-only disclosure no-network closure and zero lab console errors"
O003-C065,chapter_06_continuous_functions,repo/source/sec_cont_func_exer.ptx,authority lines 257-266,missing_hypothesis,"the integral formula is called a metric on C[a,b] without the necessary ordering assumption on the interval endpoints","state a less than b before defining the function space and integral metric",verified,"with a less than b the nonnegative integral has the orientation required by the metric axioms; independent companion review confirmed the omission"
O003-C066,chapter_07_open_balls,repo/source/sec_cont_neighborhoods.ptx,authority lines 82-83,source_typo,"the theorem says f is a function a metric space X to Y and omits from","translate the intended phrase as a function from X to Y",verified,"the declared domain and codomain plus every adjacent formulation establish the missing preposition"
O003-C067,chapter_07_open_balls,repo/source/sec_cont_neighborhoods.ptx,authority lines 145-178,schema_structure,"the first task of the reverse-implication activity has two sibling statements so the rendered four-task sequence conflicts with the final reference to parts a through d","split the second statement into its own consecutive task while preserving both statements and the intended five-part order",verified,"the resulting parts a through e make the final prompt's reference to a through d coherent and restore one statement per task"
O003-C068,chapter_07_open_balls,repo/source/sec_open_balls_summ.ptx,authority line 18,source_typo,"the summary says is s neighborhood","translate the unambiguous intended phrase is a neighborhood",verified,"the chapter definition and adjacent summary statements establish the intended article"
O003-C069,chapter_07_open_balls,repo/source/sec_open_balls_exer.ptx,authority lines 141-154,missing_imperative,"the quadratic-function task states that the inverse image contains an open ball instead of asking the learner to prove it, unlike the parallel linear task","restore the intended imperative Show that before the containment claim",verified,"the parallel task structure and following instruction to conclude continuity establish the intended exercise prompt"
O003-C070,chapter_07_open_balls,repo/source/sec_open_balls_exer.ptx,authority line 94,mathematical_variable,"the weighted-graph exercise defines a metric on undeclared S although the graph metric space is declared as X immediately afterward","replace S with X",verified,"the exercise introduces only X as the finite metric space and every subsequent reference uses X"
O003-C071,chapter_07_open_balls,repo/source/sec_cont_neighborhoods.ptx,authority lines 71-75,mathematical_classification,"the paragraph after the counterexample activity calls the inverse image f inverse of B an open ball even though the activity has just shown it need not be one","refer to the inverse image as a set that contains B(a delta), not as an open ball",verified,"the preceding activity and the displayed containment in the following theorem establish exactly the intended distinction"
O003-C072,chapter_07_open_balls,repo/source/sec_neighborhoods.ptx,authority lines 4-6,mathematical_classification,"the opening says the section introduces an open neighborhood although openness has not yet been defined and the section defines a neighborhood that need not itself be open","refer to the introduced object simply as a neighborhood of a point",verified,"the displayed definition and the chapter's own continuity theorem use the broader neighborhood concept; open sets are deferred to the next chapter"
O003-C073,chapter_08_open_sets,repo/source/sec_open_sets_intro.ptx,authority line 13,source_prose,"the source omits the articles in the phrase to be neighborhood of point a","translate the intended relation naturally as a neighborhood of point a",verified,"the following definition confirms the intended neighborhood relation"
O003-C074,chapter_08_open_sets,repo/source/sec_open_sets.ptx,authority line 97,mathematical_containment,"the informal phrase an open ball B in O that contains x can be misread as elementhood of B in O","state explicitly that B is contained in O and contains x",verified,"O is assumed to be a union of open balls so x belongs to a constituent ball contained in O"
O003-C075,chapter_08_open_sets,repo/source/sec_interior_set.ptx,authority lines 71-78,mathematical_containment,"the paragraph calls Int(A) the largest open subset of X that contains A and thereby reverses the required inclusion","state that Int(A) is the largest open subset of X contained in A",verified,"the definition gives Int(A) as a subset of A and the immediately following theorem states the correct largest-open-subset characterization"
O003-C076,chapter_08_open_sets,repo/source/sec_open_sets_exer.ptx,authority lines 108-114,mathematical_variable,"the exercise declares the finite point set S but asks about the complement of undefined A","replace R squared setminus A with R squared setminus S",verified,"S is the only finite point set declared in the exercise and its complement is the intended object"
O003-C077,chapter_08_open_sets,repo/source/sec_open_sets_exer.ptx,authority line 195,missing_copula,"the phrase if f a continuous function omits is","translate the question with the complete predicate f merupakan fungsi kontinu",verified,"the repaired grammar preserves the stated continuity question without choosing a theorem target"
O003-C078,chapter_08_open_sets,repo/source/sec_open_sets_exer.ptx,authority line 195,dangling_reference,"the instruction Use Theorem supplies neither an xref nor a theorem identifier","preserve the generic theorem wording and do not attach an xref until the intended target is established authoritatively",unresolved,"both the open-set continuity theorem and the open-ball corollary are nearby applicable results so the target is not unambiguous"
O003-C079,chapter_08_open_sets,repo/source/sec_open_sets_exer.ptx,authority lines 158-160,mathematical_classification,"the source calls f(x)=ax+b an arbitrary linear function although arbitrary b makes it affine and it is linear only when b=0","preserve the formula and quantified scope in translation and flag the classification for authoritative correction",unresolved,"for b nonzero the map does not send zero to zero and therefore is not linear"
O003-C080,chapter_08_open_sets,repo/source/sec_cont_open_sets.ptx,authority lines 63-65 and 135-139,source_punctuation,"two direct questions end with periods","translate the questions with question marks",verified,"the interrogative syntax and surrounding activity prompt order make the intended punctuation certain"
O003-C081,chapter_08_open_sets,repo/source/sec_interior_set.ptx,authority lines 22-24 and 84-87,source_prose,"the collection form has subject-verb disagreement and Then interior of A omits the article","translate both statements with natural Indonesian agreement and grammar",verified,"the prose repairs do not change mathematical content or XML topology"
O003-C082,chapter_09_sequences,repo/source/sec_seq_intro.ptx,authority line 97,mathematical_inequality,"the hypothesis uses n greater than or equal to N but the proof writes the stricter n greater than N","use n greater than or equal to N consistently",verified,"the epsilon definition and chosen threshold require the non-strict inequality"
O003-C083,chapter_09_sequences,repo/source/sec_seq_intro.ptx,authority line 197,mathematical_variable,"the Euclidean-distance equality has d_E(a,y) on the left but absolute value x-y on the right","replace the first argument a with x",verified,"the surrounding comparison uses arbitrary points x and y"
O003-C084,chapter_09_sequences,repo/source/sec_seq_intro.ptx,authority line 208,mathematical_variable,"the taxicab metric repeats the coordinates y_1,y_1","replace the second occurrence with y_1,y_2",verified,"a point of R squared requires the two coordinates y_1 and y_2"
O003-C085,chapter_09_sequences,repo/source/sec_seq_cont_metric.ptx,authority line 4,source_prose,"the phrase different ways to characterize is missing its mathematical object","state that the section gives different ways to characterize continuity",verified,"the section title and all following results concern sequential characterizations of continuity"
O003-C086,chapter_09_sequences,repo/source/sec_seq_cont_metric.ptx,authority line 96,mathematical_limit,"the proof states that the limit of f(a_n) equals a rather than f(a)","replace a with f(a)",verified,"the theorem assumes a_n converges to a and asserts continuity of f"
O003-C087,chapter_09_sequences,repo/source/sec_seq_cont_metric.ptx,authority line 201,source_prose,"the phrase the f continuity of f contains a stray f","remove the stray symbol",verified,"the repaired phrase is the continuity of f"
O003-C088,chapter_09_sequences,repo/source/sec_seq_cont_metric.ptx,authority line 243,source_prose,"be finding is a typographical error","translate the intended phrase by finding",verified,"the sentence describes a proof method"
O003-C089,chapter_09_sequences,repo/source/sec_seq_summ.ptx,authority line 20,source_prose,"to m metric space contains a stray m","translate the intended phrase to a metric space",verified,"the summary statement requires an indefinite article and no variable m"
O003-C090,chapter_09_sequences,repo/source/sec_seq_exer.ptx,authority line 80,source_markup,"the point-to-set distance formula is missing its closing set brace","restore the closing brace",verified,"the displayed infimum uses set-builder notation opened earlier in the same expression"
O003-C091,chapter_09_sequences,repo/source/sec_seq_exer.ptx,authority line 137,mathematical_notation,"the ambient real-number symbol is plain R rather than the established real-number macro","use the established R macro",verified,"the exercise concerns a sequence of rational numbers converging in the real numbers"
O003-C092,chapter_09_sequences,repo/source/sec_seq_exer.ptx,authority line 306,mathematical_domain,"C[0,1] is described as continuous functions from R to R","state continuous functions from [0,1] to R",verified,"the standard space C[0,1] and the following supremum metric both use the compact interval domain"
O003-C093,chapter_09_sequences,repo/source/sec_seq_exer.ptx,authority line 312,mathematical_notation,"C[01] omits the comma","replace C[01] with C[0,1]",verified,"the same exercise defines and uses C[0,1]"
O003-C094,chapter_09_sequences,repo/source/sec_seq_exer.ptx,authority lines 135-145,mathematical_scope,"the rational sequence converging to sqrt(2) is called a counterexample to the literal converse although the retained converse assumes the limit a lies in the subspace Y","state that the literal converse with all hypotheses retained is true; then present the example only as ambient convergence to a point outside the subspace",verified,"the subspace metric is the restriction of the ambient metric, so convergence to a point of Y is equivalent in the two spaces; the sqrt(2) example instead demonstrates failure of convergence in Y when the ambient limit lies outside Y"
O003-C095,chapter_09_sequences,repo/source/sec_seq_summ.ptx,authority lines 3-23,audit_reversal,"an earlier derivative audit incorrectly classified the source list nested in a paragraph as invalid","restore the source-valid nested list topology",superseded,"the pinned PreTeXt 1.7.5 TextParagraph model explicitly permits List; moving the list to section level is invalid and the cumulative Chapters 1-11 wrapper passes only after restoration"
O003-C096,chapter_09_sequences,repo/source/sec_seq_exer.ptx,authority line 299,mathematical_notation,"the target function f is written as the parenthesized expression (f), which incorrectly resembles a one-term sequence","write the convergence target as the function f",verified,"the sequence is (f_n), while its proposed pointwise limit is the single function f defined immediately above"
O003-C097,chapter_10_closed_sets_metric,repo/source/sec_set_closure.ptx,authority line 194,mathematical_variable,"the first case of the boundary-intersection proof concludes that the ambient space X is an element of the two closures rather than the point x","replace the membership subject X with x",verified,"the case assumes x is a boundary point and proves x belongs to both closures; the following sentence states the resulting containment for x"
O003-C098,chapter_10_closed_sets_metric,repo/source/sec_set_closure.ptx,authority line 203,mathematical_variable,"the second case of the boundary-intersection proof concludes that the ambient space X is an element of the two closures rather than the point x","replace the membership subject X with x",verified,"the case assumes x is a boundary point and proves x belongs to both closures; the following sentence states the resulting containment for x"
O003-C099,chapter_10_closed_sets_metric,repo/source/sec_limit_bound_iso_seq.ptx,authority lines 102-110,mathematical_variable,"the theorem introduces boundary point b but says the two constructed sequences converge to undefined x","replace the convergence target x with b",verified,"the theorem hypothesis names b; its source exercise ex_CS_2 and the chapter summary both state the sequences converge to b"
